Data_Mensal,1.ICMS_Total,2.Taxa_SELIC,3.188 - Indice nacional de precos ao consumidor (INPC) - Var. % mensal Fonte: IBGE,4.433 - Indice nacional de precos ao consumidor-amplo (IPCA) - Var. % mensal Fonte: IBGE,5.4380 - PIB mensal - Valores correntes (RS milhoes) - RS (milhoes) - Fonte: BCB-Depec,6.13244 - Exportacao de bens - Maranhao - USS (mil) - Fonte: MDIC/Secex,7.13245 - Importacao de bens - Maranhao - USS (mil) - Fonte: MDIC/Secex,8.13247 - Saldo da balanca comercial - Maranhao - USS (mil) - Fonte: MDIC/Secex,9.13011 - Empregos formais gerados - Maranhao - Unidades - Fonte: MTb,10.Salario_Minimo,11.Cotacao_Dolar,12.Cotacao_Barril_Petroleo,ICMS,SELIC,INPC,IPCA,PIB,EXPOR_MA,IMPOR_MA,BALANCA_MA,GER_EMP_MA,SM,DOLAR_COT,PETRO_COT
11/01/1999,39318414,1.39,0.94,0.95,99563.1,52457,38411,14046,131,136,1.9291,73.164,0.010340444113552,0.39375,0.385964912280702,0.440540540540541,0.0321488687661337,0.0557312852892963,0.0294636476159511,0.758723420102037,0.537339635381499,0.0184615384615385,0.19247043506564,0.509955155506534
12/01/1999,44051348,1.6,0.74,0.6,98772.5,57951,69966,-12015,-2081,136,1.842,68.513,0.014137763300217,0.459375,0.335839598997494,0.345945945945946,0.0312754809460383,0.0640701839596867,0.0545486488441661,0.741392954232302,0.387981093855503,0.0184615384615385,0.173570576109363,0.472509600908161
01/01/2000,49568630,1.46,0.61,0.62,92576.6,69814,13682,56132,-187,136,1.8029,64.761,0.0185643791788331,0.415625,0.303258145363409,0.351351351351351,0.0244307761717797,0.0820760730981725,0.00980505166055474,0.786710450016226,0.515867656988521,0.0184615384615385,0.165086253661712,0.442301963657443
02/01/2000,49507083,1.45,0.05,0.13,91770.4,46242,17356,28886,-560,136,1.7745,65.41,0.0185149988992894,0.4125,0.162907268170426,0.218918918918919,0.0235401547949002,0.046298038977597,0.0127257391748144,0.768591963653968,0.490681971640783,0.0184615384615385,0.158923727894109,0.447527111998519
03/01/2000,49225764,1.45,0.13,0.22,92579.9,68129,27661,40467,-418,136,1.7412,62.277,0.0182892915396952,0.4125,0.182957393483709,0.243243243243243,0.0244344217318686,0.0795185477505919,0.0209178145244184,0.776293284602412,0.500270087778528,0.0184615384615385,0.15169794944125,0.422303090808087
04/01/2000,36114693,1.3,0.09,0.42,91376.2,62880,12102,50777,194,151,1.7674,54.774,0.00777004038047187,0.365625,0.172932330827068,0.297297297297297,0.0231046760715489,0.071551514783559,0.0085490129364039,0.783149395385458,0.541593517893315,0.03,0.157383096452208,0.361895867382676
05/01/2000,42932209,1.49,-0.05,0.01,98727,51872,72117,-20245,354,151,1.8271,49.845,0.0132398576887622,0.425,0.137844611528822,0.186486486486487,0.0312252164054181,0.0548433610588307,0.0562586104236905,0.735920035537397,0.552397029034436,0.03,0.170337419984811,0.322212113648989
06/01/2000,56857869,1.39,0.3,0.23,102685.4,76090,30523,45567,2414,151,1.8075,42.692,0.0244126684452558,0.39375,0.225563909774436,0.245945945945946,0.0355981209678586,0.0916019063809119,0.0231929935298107,0.779684765203143,0.691492234976367,0.03,0.166084409243789,0.264622766832787
07/01/2000,55999658,1.31,1.39,1.61,103410.4,44342,51134,-6792,2431,151,1.797,40.19,0.0237241101225522,0.36875,0.49874686716792,0.618918918918919,0.0363990394722466,0.0434141825025803,0.0395779391902366,0.744866229365168,0.692640108035111,0.03,0.163806010632527,0.244478974614957
08/01/2000,61899535,1.41,1.21,1.31,105177.8,98845,47068,51777,524,151,1.8084,40.74,0.0284576889409054,0.4,0.453634085213033,0.537837837837838,0.0383515130786678,0.12613988221723,0.0363456268785927,0.78381439158168,0.563875759621877,0.03,0.166279700553325,0.248907066429428
09/01/2000,57120795,1.22,0.43,0.23,100307.6,56398,31108,25289,942,151,1.8384,44.736,0.0246236187658124,0.340625,0.258145363408521,0.245945945945946,0.0329713292165018,0.0617130107461599,0.0236580458422336,0.766199972336158,0.592099932478055,0.03,0.172789410871216,0.281079166230567
10/01/2000,55727721,1.29,0.16,0.14,106951.1,35741,71917,-36177,235,151,1.8788,43.242,0.0235059301125068,0.3625,0.19047619047619,0.221621621621622,0.0403105045046418,0.0303594195859389,0.0560996181801271,0.725325316139192,0.544361917623228,0.03,0.181555820765976,0.269050858647258
11/01/2000,60450338,1.22,0.29,0.32,107678,77855,59849,18006,-590,151,1.9472,40.267,0.0272949717820865,0.340625,0.223057644110276,0.27027027027027,0.0411135219678689,0.0942808572642827,0.0465060262035117,0.761356805039075,0.488656313301823,0.03,0.196397960290767,0.245098907468983
12/01/2000,56048922,1.2,0.55,0.59,105851.6,64191,50531,13659,-1493,151,1.9625,29.6,0.0237636355273881,0.334375,0.288220551378446,0.343243243243243,0.0390958701659183,0.0735413757513205,0.039098577575893,0.758466066574099,0.427683997299122,0.03,0.199717912552891,0.159218079496325
